delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,Delivered,08:40:00,29
2,2,Delivered,21:00:00,201
3,3,Delivered,02:40:00,225
4,4,Delayed,08:40:00,35
5,5,Delivered,05:20:00,271
6,6,Delivered,18:00:00,22
7,7,Not Delivered,11:20:00,192
8,8,Delivered,11:40:00,80
9,9,Delivered,12:40:00,260
10,10,Delivered,04:00:00,159
11,11,Delayed,19:00:00,163
12,12,On Time,16:20:00,46
13,13,Delivered,10:40:00,276
14,14,Delivered,00:20:00,85
15,15,Delivered,07:20:00,78
16,16,Not Delivered,03:40:00,258
17,17,Delivered,05:20:00,249
18,18,Delivered,05:20:00,93
19,19,Delivered,15:00:00,201
20,20,Delivered,18:00:00,27
21,21,Delivered,05:00:00,240
22,22,Delivered,23:20:00,232
23,23,Not Delivered,09:00:00,246
24,24,Delivered,00:20:00,129
25,25,Not Delivered,19:20:00,103
26,26,Delivered,06:20:00,262
27,27,Delivered,11:00:00,223
28,28,Delivered,21:00:00,289
29,29,Delivered,07:00:00,191
30,30,Delivered,03:00:00,219
31,31,Delivered,19:00:00,202
32,32,Delivered,18:00:00,188
33,33,Delayed,00:20:00,125
34,34,Not Delivered,06:40:00,3
35,35,Delivered,23:40:00,287
36,36,Delayed,13:00:00,262
37,37,Delivered,23:00:00,222
38,38,Delivered,02:00:00,209
39,39,Delivered,01:00:00,155
40,40,Delivered,04:20:00,145
41,41,Delivered,20:20:00,207
42,42,Delivered,01:20:00,100
43,43,Delayed,15:40:00,107
44,44,Delivered,14:20:00,23
45,45,Delivered,04:20:00,119
46,46,Delivered,01:20:00,68
47,47,Delivered,01:00:00,149
48,48,Delivered,20:20:00,22
49,49,Not Delivered,04:00:00,56
50,50,Delivered,10:20:00,11
51,51,Delayed,05:00:00,154
52,52,Delivered,23:00:00,291
53,53,Delivered,03:40:00,294
54,54,Delivered,18:20:00,139
55,55,Not Delivered,12:20:00,247
56,56,Not Delivered,19:20:00,159
57,57,Not Delivered,22:20:00,289
58,58,Delivered,13:40:00,279
59,59,Delivered,01:40:00,224
60,60,Delivered,16:20:00,294
61,61,On Time,16:40:00,248
62,62,Delivered,03:00:00,55
63,63,Delivered,02:40:00,292
64,64,Delivered,07:40:00,7
65,65,On Time,06:00:00,101
66,66,Delivered,14:00:00,2
67,67,Delivered,13:20:00,134
68,68,Delivered,14:20:00,17
69,69,Delivered,21:40:00,261
70,70,Delivered,14:20:00,60
71,71,Delivered,08:00:00,253
72,72,Delivered,18:00:00,141
73,73,Delayed,22:00:00,171
74,74,Not Delivered,19:00:00,67
75,75,On Time,00:00:00,121
76,76,Delivered,19:20:00,60
77,77,Delivered,10:40:00,281
78,78,Delivered,11:20:00,37
79,79,Delivered,22:00:00,176
80,80,On Time,01:40:00,265
81,81,Delivered,08:00:00,284
82,82,Delivered,13:20:00,128
83,83,Delivered,11:00:00,287
84,84,Delivered,18:00:00,248
85,85,Delivered,20:00:00,130
86,86,Delivered,17:20:00,232
87,87,Delivered,00:00:00,273
88,88,Delivered,20:20:00,191
89,89,Delivered,08:20:00,270
90,90,Delivered,06:00:00,88
91,91,Delivered,10:00:00,280
92,92,Delivered,03:40:00,127
93,93,Delivered,20:20:00,204
94,94,Delivered,00:40:00,48
95,95,Delivered,09:20:00,110
96,96,Delivered,01:40:00,203
97,97,Delivered,06:00:00,292
98,98,Delivered,22:40:00,103
99,99,Delivered,04:00:00,96
100,100,Delivered,19:20:00,52
101,101,Delivered,12:20:00,253
102,102,Delivered,20:00:00,229
103,103,Delivered,19:40:00,279
104,104,Delayed,16:40:00,286
105,105,Delivered,09:40:00,56
106,106,Delivered,06:00:00,125
107,107,Delivered,15:40:00,55
108,108,Delayed,21:20:00,227
109,109,Delayed,04:20:00,86
110,110,On Time,03:40:00,27
111,111,Delayed,10:20:00,194
112,112,Delivered,05:00:00,98
113,113,Delivered,15:00:00,23
114,114,Delivered,03:20:00,132
115,115,Delivered,14:40:00,90
116,116,Delivered,12:40:00,256
117,117,Delivered,01:00:00,50
118,118,Delivered,21:40:00,219
119,119,Delivered,01:20:00,30
120,120,Delivered,06:40:00,213
121,121,Delayed,02:40:00,71
122,122,Delivered,02:20:00,210
123,123,Delivered,02:00:00,249
124,124,Delayed,08:40:00,88
125,125,Delivered,22:00:00,114
126,126,Not Delivered,01:20:00,152
127,127,Delivered,20:20:00,81
128,128,Delivered,03:40:00,260
129,129,Delivered,01:40:00,37
130,130,Delivered,21:20:00,27
131,131,Delivered,08:40:00,107
132,132,Delivered,05:20:00,127
133,133,On Time,09:00:00,132
134,134,Delayed,23:40:00,133
135,135,Delivered,02:00:00,76
136,136,Delivered,14:20:00,293
137,137,Delivered,21:00:00,110
138,138,Delayed,04:00:00,288
139,139,Delivered,19:00:00,52
140,140,Delivered,01:20:00,37
141,141,Delivered,17:00:00,21
142,142,Delivered,22:40:00,243
143,143,Delivered,16:40:00,98
144,144,Delivered,04:40:00,229
145,145,Delivered,00:00:00,56
146,146,Delayed,10:40:00,294
147,147,Delivered,02:40:00,87
148,148,Delivered,18:20:00,178
149,149,Delivered,15:20:00,197
150,150,Delivered,13:20:00,233
151,151,Delivered,19:00:00,39
152,152,Delivered,07:20:00,279
153,153,Delayed,23:20:00,102
154,154,Delivered,22:40:00,210
155,155,Delivered,13:40:00,49
156,156,Not Delivered,07:00:00,117
157,157,Delivered,09:00:00,40
158,158,Not Delivered,22:20:00,291
