order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,23,169,Chicken Biryani,2025-04-27,00:00:00,Delivered,207.07
2,294,206,Veg Biryani,2025-03-27,07:30:00,Delivered,651.23
3,477,219,Paneer Butter Masala,2025-02-01,04:30:00,Delivered,422.97
4,383,239,Gulab Jamun,2025-04-16,00:00:00,Cancelled,470.45
5,44,68,Hakka Noodles,2025-02-01,21:00:00,Delivered,595.13
6,261,215,Chicken Shawarma,2025-09-27,12:00:00,Pending,105.88
7,180,122,Gulab Jamun,2025-03-24,18:00:00,Delivered,917.36
8,296,166,Chicken Shawarma,2025-03-14,04:30:00,Delivered,429.38
9,139,46,Cheese Burst Pizza,2025-04-25,04:30:00,Delivered,375.21
10,334,69,Peri Peri Fries,2025-07-16,07:30:00,Delivered,657.62
11,248,27,Cheese Burst Pizza,2025-08-06,21:00:00,Delivered,620.96
12,241,171,Peri Peri Fries,2025-04-24,03:00:00,Pending,226.62
13,106,245,Butter Chicken,2025-07-02,16:30:00,Delivered,910.76
14,386,206,Peri Peri Fries,2025-11-28,07:30:00,Cancelled,234.78
15,419,199,Cheese Burst Pizza,2025-05-19,09:00:00,Delivered,471.89
16,173,238,Peri Peri Fries,2025-09-19,15:00:00,Cancelled,102.62
17,49,45,Veg Biryani,2025-02-14,13:30:00,Delivered,1062.89
18,123,18,Peri Peri Fries,2025-08-14,03:00:00,Delivered,659.82
19,35,32,Veg Biryani,2025-09-16,09:00:00,Delivered,417.42
20,106,249,Chicken Biryani,2025-08-09,03:00:00,Cancelled,498.16
21,476,2,Gulab Jamun,2025-09-24,18:00:00,Delivered,240.31
22,328,169,Gulab Jamun,2025-10-24,18:00:00,Cancelled,743.85
23,416,235,Gulab Jamun,2025-10-31,01:30:00,Delivered,128.99
24,196,20,Margherita Pizza,2025-03-19,16:30:00,Delivered,685.46
25,109,221,Paneer Butter Masala,2025-08-20,19:30:00,Delivered,275.82
26,125,186,Hakka Noodles,2025-03-09,13:30:00,Delivered,867.5
27,327,235,Hakka Noodles,2025-01-29,10:30:00,Delivered,350.39
28,295,218,Hakka Noodles,2025-11-04,18:00:00,Delivered,542.09
29,432,38,Butter Chicken,2025-02-25,21:00:00,Delivered,929.23
30,347,1,Gulab Jamun,2025-03-28,12:00:00,Delivered,627.11
31,37,197,Butter Chicken,2025-05-03,09:00:00,Delivered,663.45
32,188,182,Butter Chicken,2025-07-12,00:00:00,Cancelled,510.41
33,337,249,Gulab Jamun,2025-05-05,18:00:00,Delivered,415.56
34,458,142,Margherita Pizza,2025-09-25,19:30:00,Delivered,595.6
35,388,153,Peri Peri Fries,2025-02-01,12:00:00,Delivered,544.87
36,23,240,Peri Peri Fries,2025-03-17,21:00:00,Cancelled,667.9
37,398,137,Butter Chicken,2025-04-06,16:30:00,Delivered,876.52
38,261,222,Veg Biryani,2025-08-04,00:00:00,Delivered,459.56
39,194,211,Peri Peri Fries,2025-02-21,10:30:00,Delivered,390.69
40,366,189,Paneer Butter Masala,2025-02-28,00:00:00,Delivered,308.83
41,152,180,Hakka Noodles,2025-11-11,07:30:00,Delivered,581.99
42,18,232,Veg Biryani,2025-11-24,06:00:00,Delivered,742.61
43,27,136,Paneer Butter Masala,2025-01-09,07:30:00,Cancelled,432.68
44,24,16,Veg Biryani,2025-05-12,13:30:00,Cancelled,622.96
45,29,114,Margherita Pizza,2025-08-15,16:30:00,Delivered,392.84
46,139,8,Butter Chicken,2025-10-26,18:00:00,Delivered,640.12
47,496,23,Paneer Butter Masala,2025-04-26,18:00:00,Delivered,352.2
48,146,73,Hakka Noodles,2025-11-03,21:00:00,Cancelled,638.14
49,123,224,Gulab Jamun,2025-11-26,06:00:00,Cancelled,439.79
50,128,229,Margherita Pizza,2025-09-18,22:30:00,Delivered,80.0
51,368,34,Hakka Noodles,2025-07-03,07:30:00,Delivered,570.55
52,117,245,Margherita Pizza,2025-07-25,06:00:00,Delivered,611.36
53,132,238,Gulab Jamun,2025-09-26,15:00:00,Delivered,413.45
54,289,18,Hakka Noodles,2025-06-25,16:30:00,Delivered,85.73
55,206,109,Chicken Shawarma,2025-12-01,06:00:00,Delivered,648.02
56,236,44,Chicken Biryani,2025-03-20,03:00:00,Delivered,476.35
57,42,143,Butter Chicken,2025-08-08,12:00:00,Delivered,483.74
58,160,245,Margherita Pizza,2025-03-20,12:00:00,Delivered,552.02
59,252,15,Butter Chicken,2025-07-31,00:00:00,Pending,755.55
60,179,93,Gulab Jamun,2025-11-25,21:00:00,Delivered,266.05
61,125,127,Chicken Biryani,2025-08-06,21:00:00,Cancelled,272.61
62,260,121,Veg Biryani,2025-08-13,00:00:00,Delivered,712.56
63,276,23,Veg Biryani,2025-03-29,06:00:00,Delivered,878.6
64,213,215,Paneer Butter Masala,2025-08-16,07:30:00,Delivered,775.56
65,451,193,Peri Peri Fries,2025-07-28,03:00:00,Pending,473.92
66,473,249,Veg Biryani,2025-06-18,22:30:00,Delivered,354.34
67,324,214,Peri Peri Fries,2025-01-30,09:00:00,Delivered,828.76
68,190,71,Chicken Biryani,2025-11-17,16:30:00,Delivered,847.24
69,58,109,Chicken Shawarma,2025-03-26,13:30:00,Delivered,418.26
70,431,32,Butter Chicken,2025-06-23,22:30:00,Delivered,749.08
71,203,220,Chicken Shawarma,2025-06-26,22:30:00,Delivered,797.61
72,80,114,Butter Chicken,2025-11-13,10:30:00,Delivered,218.19
73,443,160,Chicken Biryani,2025-01-23,07:30:00,Pending,228.05
74,228,33,Paneer Butter Masala,2025-07-08,16:30:00,Cancelled,510.28
75,390,171,Butter Chicken,2025-02-11,16:30:00,Delivered,127.58
76,95,13,Chicken Shawarma,2025-10-07,06:00:00,Delivered,385.16
77,424,116,Chicken Biryani,2025-11-17,10:30:00,Delivered,523.02
78,461,220,Hakka Noodles,2025-03-13,13:30:00,Delivered,457.86
79,407,137,Hakka Noodles,2025-12-08,16:30:00,Delivered,80.0
80,436,190,Peri Peri Fries,2025-09-19,13:30:00,Delivered,668.25
81,4,185,Margherita Pizza,2025-08-21,10:30:00,Delivered,404.61
82,165,176,Margherita Pizza,2025-06-21,13:30:00,Delivered,80.0
83,426,171,Peri Peri Fries,2025-02-03,16:30:00,Delivered,609.93
84,485,67,Cheese Burst Pizza,2025-06-23,16:30:00,Delivered,542.59
85,300,209,Chicken Shawarma,2025-11-07,06:00:00,Delivered,707.65
86,481,226,Butter Chicken,2025-09-16,12:00:00,Cancelled,510.38
87,381,32,Gulab Jamun,2025-10-30,04:30:00,Delivered,537.94
88,42,73,Chicken Biryani,2025-08-24,22:30:00,Delivered,598.69
89,285,105,Margherita Pizza,2025-11-29,12:00:00,Delivered,349.14
90,229,240,Chicken Biryani,2025-11-11,00:00:00,Delivered,543.56
91,403,188,Veg Biryani,2025-06-06,18:00:00,Delivered,722.81
92,243,129,Chicken Shawarma,2025-06-23,16:30:00,Pending,817.12
93,212,185,Butter Chicken,2025-02-27,18:00:00,Delivered,976.34
94,416,113,Gulab Jamun,2025-07-04,18:00:00,Delivered,686.4
95,300,106,Paneer Butter Masala,2025-04-09,19:30:00,Delivered,251.61
96,55,212,Peri Peri Fries,2025-07-27,18:00:00,Delivered,694.22
97,336,69,Chicken Shawarma,2025-10-08,07:30:00,Delivered,474.89
98,389,232,Chicken Biryani,2025-01-16,22:30:00,Delivered,889.95
99,369,237,Veg Biryani,2025-10-28,06:00:00,Delivered,270.84
100,430,213,Peri Peri Fries,2025-04-25,21:00:00,Cancelled,849.36
101,460,69,Chicken Shawarma,2025-05-02,12:00:00,Delivered,918.16
102,173,196,Chicken Shawarma,2025-01-01,13:30:00,Delivered,651.1
103,277,249,Butter Chicken,2025-06-29,10:30:00,Delivered,913.69
104,334,61,Paneer Butter Masala,2025-02-19,19:30:00,Delivered,850.01
105,229,8,Gulab Jamun,2025-11-07,18:00:00,Cancelled,526.37
106,406,217,Paneer Butter Masala,2025-11-17,06:00:00,Delivered,179.99
107,30,247,Paneer Butter Masala,2025-03-05,10:30:00,Delivered,318.62
108,23,7,Veg Biryani,2025-04-25,00:00:00,Delivered,169.85
109,5,165,Peri Peri Fries,2025-10-07,07:30:00,Delivered,723.16
110,63,170,Chicken Shawarma,2025-07-16,00:00:00,Delivered,349.6
111,221,160,Hakka Noodles,2025-05-18,01:30:00,Cancelled,416.25
112,315,145,Chicken Biryani,2025-01-14,22:30:00,Delivered,645.19
113,478,156,Chicken Biryani,2025-12-01,21:00:00,Delivered,629.3
114,82,70,Hakka Noodles,2025-11-06,06:00:00,Delivered,397.75
115,494,234,Paneer Butter Masala,2025-09-17,21:00:00,Delivered,644.28
116,242,176,Cheese Burst Pizza,2025-11-30,12:00:00,Delivered,947.41
117,253,54,Veg Biryani,2025-09-03,07:30:00,Delivered,783.27
118,52,170,Gulab Jamun,2025-10-27,00:00:00,Delivered,490.54
119,321,36,Chicken Biryani,2025-09-08,00:00:00,Delivered,741.15
120,39,66,Cheese Burst Pizza,2025-04-13,01:30:00,Pending,189.26
121,465,159,Peri Peri Fries,2025-05-15,12:00:00,Cancelled,462.85
122,259,193,Butter Chicken,2025-02-01,21:00:00,Delivered,474.01
123,426,3,Gulab Jamun,2025-01-25,00:00:00,Delivered,640.4
124,327,13,Paneer Butter Masala,2025-01-26,06:00:00,Delivered,112.61
125,411,159,Chicken Biryani,2025-10-16,07:30:00,Cancelled,685.66
126,412,29,Cheese Burst Pizza,2025-10-13,16:30:00,Delivered,80.0
127,492,57,Hakka Noodles,2025-05-06,00:00:00,Delivered,1233.58
128,438,236,Chicken Biryani,2025-06-22,06:00:00,Delivered,128.17
129,479,161,Veg Biryani,2025-04-15,06:00:00,Delivered,444.86
130,271,181,Veg Biryani,2025-04-02,06:00:00,Cancelled,1030.29
131,437,10,Peri Peri Fries,2025-08-16,06:00:00,Cancelled,746.69
132,496,230,Margherita Pizza,2025-06-20,06:00:00,Cancelled,934.7
133,72,63,Peri Peri Fries,2025-10-28,13:30:00,Delivered,573.02
134,70,73,Chicken Biryani,2025-09-19,03:00:00,Delivered,922.61
135,220,193,Peri Peri Fries,2025-11-26,00:00:00,Delivered,782.47
136,4,108,Peri Peri Fries,2025-05-09,00:00:00,Delivered,745.08
137,350,101,Cheese Burst Pizza,2025-09-17,03:00:00,Delivered,396.42
138,491,96,Veg Biryani,2025-10-26,18:00:00,Delivered,588.83
139,401,97,Peri Peri Fries,2025-02-14,18:00:00,Delivered,446.7
140,290,2,Hakka Noodles,2025-10-12,00:00:00,Delivered,605.54
141,380,110,Hakka Noodles,2025-11-08,00:00:00,Delivered,92.46
142,390,130,Veg Biryani,2025-10-14,10:30:00,Delivered,717.6
143,292,123,Margherita Pizza,2025-04-24,22:30:00,Delivered,757.66
144,355,197,Cheese Burst Pizza,2025-05-11,01:30:00,Pending,566.39
145,231,202,Margherita Pizza,2025-08-02,16:30:00,Delivered,572.93
146,423,116,Butter Chicken,2025-04-09,09:00:00,Delivered,592.28
147,80,230,Chicken Biryani,2025-01-16,13:30:00,Delivered,528.33
148,66,37,Cheese Burst Pizza,2025-02-12,01:30:00,Delivered,859.98
149,136,130,Chicken Shawarma,2025-10-11,07:30:00,Delivered,495.56
150,399,233,Peri Peri Fries,2025-05-16,07:30:00,Delivered,793.46
151,191,61,Cheese Burst Pizza,2025-02-18,03:00:00,Delivered,566.52
152,347,234,Hakka Noodles,2025-09-05,15:00:00,Delivered,485.9
153,336,40,Veg Biryani,2025-09-30,16:30:00,Delivered,1093.39
154,449,191,Margherita Pizza,2025-05-05,00:00:00,Delivered,289.88
155,59,25,Butter Chicken,2025-03-09,07:30:00,Delivered,343.59
156,266,123,Veg Biryani,2025-01-15,16:30:00,Delivered,573.42
157,7,166,Butter Chicken,2025-01-25,06:00:00,Delivered,190.11
158,368,37,Paneer Butter Masala,2025-07-09,19:30:00,Cancelled,178.87
159,202,245,Veg Biryani,2025-10-31,15:00:00,Delivered,761.04
160,332,210,Veg Biryani,2025-04-26,12:00:00,Delivered,814.76
161,465,27,Chicken Shawarma,2025-10-22,22:30:00,Delivered,356.07
162,237,84,Butter Chicken,2025-06-25,21:00:00,Delivered,225.35
163,268,178,Butter Chicken,2025-07-30,21:00:00,Delivered,567.23
164,79,162,Paneer Butter Masala,2025-07-24,21:00:00,Delivered,476.56
165,46,44,Margherita Pizza,2025-03-20,06:00:00,Delivered,207.74
166,243,72,Butter Chicken,2025-09-06,19:30:00,Delivered,735.83
167,288,132,Peri Peri Fries,2025-10-20,01:30:00,Delivered,445.62
168,160,222,Gulab Jamun,2025-05-13,15:00:00,Delivered,649.81
169,115,180,Butter Chicken,2025-10-11,03:00:00,Delivered,458.21
170,474,55,Chicken Shawarma,2025-05-15,09:00:00,Delivered,505.02
171,462,228,Paneer Butter Masala,2025-10-31,16:30:00,Delivered,117.5
172,114,73,Margherita Pizza,2025-03-25,01:30:00,Cancelled,1007.28
173,126,233,Butter Chicken,2025-03-26,21:00:00,Delivered,585.11
174,90,12,Margherita Pizza,2025-06-05,03:00:00,Delivered,540.58
175,61,142,Cheese Burst Pizza,2025-10-11,21:00:00,Delivered,597.81
176,453,163,Butter Chicken,2025-05-07,01:30:00,Delivered,80.0
177,500,6,Butter Chicken,2025-03-25,04:30:00,Cancelled,555.94
178,317,47,Chicken Biryani,2025-09-29,12:00:00,Delivered,161.85
179,102,151,Veg Biryani,2025-09-24,07:30:00,Delivered,406.87
180,114,115,Paneer Butter Masala,2025-03-26,21:00:00,Delivered,409.06
181,174,68,Hakka Noodles,2025-11-16,16:30:00,Delivered,640.17
182,452,193,Butter Chicken,2025-10-17,19:30:00,Delivered,475.91
183,92,59,Gulab Jamun,2025-10-31,09:00:00,Delivered,223.72
184,183,137,Margherita Pizza,2025-07-18,13:30:00,Delivered,888.13
185,385,119,Hakka Noodles,2025-05-14,00:00:00,Delivered,228.38
186,205,186,Paneer Butter Masala,2025-05-17,06:00:00,Delivered,654.58
187,363,48,Paneer Butter Masala,2025-11-02,18:00:00,Delivered,686.62
188,195,247,Peri Peri Fries,2025-01-09,13:30:00,Delivered,574.5
